pk,code,name,name_local,dept_type,effective_from,effective_to
315,01,Completion,Completion,06,2007-04-10,
316,02,HR & Admin,HR & Admin,02,2007-06-09,
317,03,Main Office,Main Office,03,2007-06-08,
318,04,Maintenance,Maintenance,04,2007-06-09,
319,05,Newcomers,Newcomers,05,2007-06-09,
320,06,Production,Production,06,2007-06-09,
321,07,Quality management,Quality management,07,2007-06-09,
322,08,Sewing,Sewing,08,2007-06-09,
323,09,Warehouse,Warehouse,09,2007-06-09,
334,10,PURCHASE,PURCHASE,06,2009-07-03,
