pk,code,name,name_local,department_pk,effective_from,effective_to
186,01,TMP,TMP,315,2007-04-25,2007-06-09
201,06,Rivet,Rivet,315,2007-06-09,
202,07,540 Machine,540 Machine,315,2007-06-09,
203,08,Packing,Packing,315,2007-06-09,
196,01,HR/Admin,HR/Admin,316,2007-06-09,
197,02,Cleaner,Cleaner,316,2007-06-09,
198,03,Driver,Driver,316,2007-06-09,
199,04,Nurse,Nurse,316,2007-06-09,
200,05,Cooker,Cooker,316,2007-06-09,
308,37,Gardener,Gardener,316,2007-07-26,
387,48,HR/Admin Staff,HR/Admin Staff,316,2008-02-13,
447,51,TMP,TMP,316,2008-04-25,2008-04-25
204,09,Ex-Import,Ex-Import,317,2007-06-09,
205,10,Accounting,Accounting,317,2007-06-09,
206,11,General Staff,General Staff,317,2007-06-09,
207,12,IT,IT,317,2007-06-09,
307,20,Sales,Sales,317,2007-07-26,
528,22,R&D,Nghiên cứu phát triển,317,2016-08-24,2016-08-24
529,26,R&D,R&D,317,2016-08-24,2016-09-06
267,36,Reception,Tiếp tân,317,2007-07-11,
469,51,Purchase,Purchase,317,2009-07-01,
491,55,Design,Design,317,2015-03-17,
507,56,QA,QA,317,2015-04-06,
527,57,R&D,Nghiên cứu phát triển,317,2016-08-24,2016-08-24
556,66,Cost Reduction,Cost Reduction,317,2020-01-01,
208,13,Electrician,Electrician,318,2007-06-09,
209,14,Mechanician,Mechanician,318,2007-06-09,
210,15,Skilled Workers,Skilled Workers,319,2007-06-09,
211,16,Unskilled Workers,Unskilled Workers,319,2007-06-09,
212,17,Bond,Bond,320,2007-06-09,
213,18,Cutting Room,Cutting Room,320,2007-06-09,
214,19,Staff,Staff,320,2007-06-09,2007-07-17
287,19,Pro Admin,Pro Admin,320,2007-07-17,
215,20,Interpreter,Interpreter,320,2007-06-09,2007-07-17
333,44,Receiving Materials,Receiving Materials,320,2007-11-01,
334,45,Supervisor,Supervisor,320,2007-11-01,
564,74,Bond Top,Bond Top,320,2026-07-11,
216,21,QC (KCS),QC,321,2007-06-09,
555,65,QC Titleist,QC Titleist,321,2019-10-01,
557,67,Warehouse,Warehouse,321,2025-05-01,
558,68,QA,QA,321,2025-05-01,
217,22,Line 01,Line 01,322,2007-06-09,2007-07-17
218,23,Line 02,Line 02,322,2007-06-09,2007-07-17
219,24,Line 03 ,Line 03 ,322,2007-06-09,2007-07-17
220,25,Line 04,Line 04,322,2007-06-09,2007-07-17
221,26,Line 05,Line 05,322,2007-06-09,2007-07-17
222,27,Computer Sewing,Computer Sewing,322,2007-06-09,
223,28,Sample Room,Sample Room,322,2007-06-09,
224,29,Preparing,Preparing,322,2007-06-09,
225,30,Training,Training,322,2007-06-09,
226,31,Sub-Sewing,Sub-Sewing,322,2007-06-09,
247,33,Assembly,Assembly,322,2007-06-20,
248,34,String-sewing,String-sewing,322,2007-06-20,
249,35,Sub-preparation,Sub-preparation,322,2007-06-20,
327,38,Line 1,Line 1,322,2007-11-01,
328,39,Line 2,Line 2,322,2007-11-01,
329,40,Line 3,Line 3,322,2007-11-01,
330,41,Line 4,Line 4,322,2007-11-01,
331,42,Line 5 ,Line 5,322,2007-11-01,
332,43,Line 6,Line 6,322,2007-11-01,
347,46,Line 9,Line 9,322,2007-12-01,
407,49,Line 8,Line 8,322,2008-03-26,
427,50,Line 7,Line 7,322,2008-04-04,
488,52,Line 10,Line 10,322,2015-03-17,
489,53,Line 11,Line 11,322,2015-03-17,
490,54,Line 12,Line 12,322,2015-03-17,
559,69,Sewing CB 1,Sewing CB 1,322,2026-07-08,
560,70,Sewing CB 2,Sewing CB 2,322,2026-07-08,
561,71,Sewing CB 3,Sewing CB 3,322,2026-07-08,
562,72,Sewing ACC,Sewing ACC,322,2026-07-08,
563,73,Bond Top,Bond Top,322,2026-07-08,
227,32,Warehouse,Warehouse,323,2007-06-09,
371,47,Warehouse Accountant,Warehouse Accountant,323,2008-01-04,
